
CREATE TABLE book_store ( 
    id       	int(11) AUTO_INCREMENT COMMENT '기본키'  NOT NULL,
    nm       	varchar(45) COMMENT '이름'  NULL,
    writer   	varchar(45) COMMENT '저자'  NULL,
    price    	int(11) COMMENT '가격'  NULL,
    rental_yn	varchar(5) COMMENT '대여여부'  NULL,
    count    	int(11) COMMENT '대여횟수'  NULL,
    PRIMARY KEY(id)
);
COMMENT = '도서 대여 시스템' 
;
INSERT INTO book_store (nm, writer, price, rental_yn, count) VALUES ('nm 001', 'writer 001', 001, 'N', 001);
INSERT INTO book_store (nm, writer, price, rental_yn, count) VALUES ('nm 084', 'writer 084', 084, 'N', 084);
INSERT INTO book_store (nm, writer, price, rental_yn, count) VALUES ('nm 085', 'writer 085', 085, 'N', 085);
INSERT INTO book_store (nm, writer, price, rental_yn, count) VALUES ('nm 086', 'writer 086', 086, 'N', 086);
INSERT INTO book_store (nm, writer, price, rental_yn, count) VALUES ('nm 087', 'writer 087', 087, 'N', 087);
INSERT INTO book_store (nm, writer, price, rental_yn, count) VALUES ('nm 088', 'writer 088', 088, 'N', 088);
INSERT INTO book_store (nm, writer, price, rental_yn, count) VALUES ('nm 089', 'writer 089', 089, 'N', 089);
INSERT INTO book_store (nm, writer, price, rental_yn, count) VALUES ('nm 090', 'writer 090', 090, 'N', 090);
INSERT INTO book_store (nm, writer, price, rental_yn, count) VALUES ('nm 091', 'writer 091', 091, 'N', 091);
INSERT INTO book_store (nm, writer, price, rental_yn, count) VALUES ('nm 092', 'writer 092', 092, 'N', 092);
INSERT INTO book_store (nm, writer, price, rental_yn, count) VALUES ('nm 093', 'writer 093', 093, 'N', 093);
INSERT INTO book_store (nm, writer, price, rental_yn, count) VALUES ('nm 094', 'writer 094', 094, 'N', 094);
INSERT INTO book_store (nm, writer, price, rental_yn, count) VALUES ('nm 095', 'writer 095', 095, 'N', 095);
INSERT INTO book_store (nm, writer, price, rental_yn, count) VALUES ('nm 096', 'writer 096', 096, 'N', 096);
INSERT INTO book_store (nm, writer, price, rental_yn, count) VALUES ('nm 097', 'writer 097', 097, 'N', 097);
INSERT INTO book_store (nm, writer, price, rental_yn, count) VALUES ('nm 098', 'writer 098', 098, 'N', 098);
INSERT INTO book_store (nm, writer, price, rental_yn, count) VALUES ('nm 099', 'writer 099', 099, 'N', 099);
INSERT INTO book_store (nm, writer, price, rental_yn, count) VALUES ('nm 100', 'writer 100', 100, 'N', 100);
